#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;
expected_next_title_fraticelli_cardinal;Expected Next Cardinal;Cardinal préssenti;Cardinal préssenti;;Presunto próximo cardenal;;;;;;;;;x;;
expected_next_title_fraticelli_cardinal_tooltip;This bishop is probably next in line for a Cardinalship when one becomes available.;Cet évêque est considéré favori pour être élevé à la pourpre et intégrer le Sacré Collège;Cet évêque est considéré favori pour être élevé à la pourpre et intégrer le Collège cardinalice.;;Este obispo será, probablemente, el próximo Cardenal cuando haya una vacante.;;;;;;;;;x;;
best_candidate_title_fraticelli_cardinal;My Best Cardinal Candidate;Mon cardinal potentiel;Mon cardinal potentiel;;Mi mejor candidato a Cardenal;;;;;;;;;x;;
best_candidate_title_fraticelli_cardinal_tooltip;Of all the bishops in my realm, this one is the likeliest to get appointed Cardinal by the Pope.;De tous les évêques de mon domaine, celui-ci est le plus susceptible d'être créé cardinal.;De tous les évêques de mon domaine, celui-ci est le plus susceptible d'être créé cardinal.;;De todos los obispos de mi Reino, este es el que tiene más probabilidades de que el Papa lo nombre Cardenal.;;;;;;;;;x;;
TRAIT_OPINION_CHURCH;Church Opinion: $VALUE$;Opinion du clergé : $VALUE$;Kirchenmeinung: $VALUE$;;Opinión de la Iglesia: $VALUE$;;;;;;;;;x;;
TRAIT_OPINION_CHRISTIAN_CHURCH;Christian Church Opinion: $VALUE$;Opinion de l'Église : $VALUE$;Christliche Kirchenmeinung: $VALUE$;;Opinión de la Iglesia Cristiana: $VALUE$;;;;;;;;;x;;
TRAIT_OPINION_SAME_TRAIT_SAME_REL;Religious Same Trait Opinion: $VALUE$;Opinion des religieux similaires : $VALUE$;Meinung durch gleiche religiöse Merkmale: $VALUE$;;Opinión de la misma característica religiosa: $VALUE$;;;;;;;;;x;;
TRAIT_OPINION_SAME_RELIGION;Same Faith Opinion: $VALUE$;Opinion des coreligionnaires :  $VALUE$;Meinung von Glaubensgenossen: $VALUE$;;Opinión de la Misma Creencia: $VALUE$;;;;;;;;;x;;
TRAIT_OPINION_MUSLIM;Muslim Opinion: $VALUE$;Opinion des musulmans : $VALUE$;Meinung der Muslime: $VALUE$;;Opinión Musulmana: $VALUE$;;;;;;;;;x;;
TRAIT_OPINION_ZORO;Zoroastrian Opinion: $VALUE$;Opinion des zoroastriens : $VALUE$;Meinung der Zoroastrier: $VALUE$;;Opinión Zoroastriana: $VALUE$;;;;;;;;;x;;
TRAIT_OPINION_JEWISH;Jewish Opinion: $VALUE$;Opinion des juifs : $VALUE$;Meinung der Juden: $VALUE$;;Opinión Judía: $VALUE$;;;;;;;;;x;;
TRAIT_OPINION_CHRISTIAN;Christian Opinion: $VALUE$;Opinion des chrétiens : $VALUE$;Meinung der Christen: $VALUE$;;Opinión Cristiana: $VALUE$;;;;;;;;;x;;
