#CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
city_baron_german;Burgrave;;;;;;;;;;;;;x
city_county;Grande cité;;;;;;;;;;;;;x
city_county_of;Grande Cité de;;;;;;;;;;;;;x
city_duchy;République;;;;;;;;;;;;;x
city_duchy_of;République de;;;;;;;;;;;;;x
city_duke_italian;Procurateur;;;;;;;;;;;;;x
city_king_german;Liguemestre;;;;;;;;;;;;;x
city_king_muslim;Wali Malik;;;;;;;;;;;;;x
city_kingdom_german;Ligue marchande;;;;;;;;;;;;;x
city_kingdom_of_german;Ligue marchande de;;;;;;;;;;;;;x
count_english;Earl;;;;;;;;;;;;;x
count_female_german;Gravine;;;;;;;;;;;;;x
count_german;Grave;;;;;;;;;;;;;x
