#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV1;Vestisland;Vesturland;Vestisland;4;Isla Vest;1;;;;;;;;x
PROV2;Austisland;Austurland;Austisland;4;Austisland;2;;;;;;;;x
PROV3;Tyrconnell;Tyrconnell;Tyrconnell;4;Tyrconnell;3;;;;;;;;x
PROV4;Tyrone;Tyrone;Tyrone;4;Tyrone;4;;;;;;;;x
PROV5;Ulster;Ulster;Ulster;4;Úlster;5;;;;;;;;x
PROV6;Blekinge;Blekinge;Blekinge;4;Blekinge;6;;;;;;;;x
PROV7;Oriel;Oriel;Oriel;4;Oriel;7;;;;;;;;x
PROV8;Breifne;Breifne;Breifne;4;Breifne;8;;;;;;;;x
PROV9;Connacht;Connacht;Connacht;4;Connacht;9;;;;;;;;x
PROV10;Kildare;Kildare;Kildare;4;Kildare;10;;;;;;;;x
PROV11;Dublin;Dublin;Dublin;4;Dublín;11;;;;;;;;x
PROV12;Ossory;Osraige;Ossory;4;Ossory;12;;;;;;;;x
PROV13;Thomond;Thomond;Thomond;4;Thomond;13;;;;;;;;x
PROV14;Desmond;Desmond;Desmond;4;Desmond;14;;;;;;;;x
PROV15;Ormond;Ormond;Ormond;4;Ormond;15;;;;;;;;x
PROV16;Leinster;Leinster;Leinster;4;Leinster;16;;;;;;;;x
PROV17;Hereford;Hereford;Hereford;4;Hereford;17;;;;;;;;x
PROV18;Dyfed;Dyfed;Dyfed;4;Dyfed;18;;;;;;;;x
PROV19;Glamorgan;Glamorgan;Glamorgan;4;Glamorgan;19;;;;;;;;x
PROV20;Gwent;Gwent;Gwent;4;Gwent;20;;;;;;;;x
PROV21;Gloucester;Gloucester;Gloucester;4;Gloucester;21;;;;;;;;x
PROV22;Oxford;Oxford;Oxford;4;Oxford;22;;;;;;;;x
PROV23;Wiltshire;Wiltshire;Wiltshire;4;Wiltshire;23;;;;;;;;x
PROV24;Surrey;Surrey;Surrey;4;Surrey;24;;;;;;;;x
PROV25;Sussex;Sussex;Sussex;4;Sussex;25;;;;;;;;x
PROV26;Winchester;Winchester;Winchester;4;Winchester;26;;;;;;;;x
PROV27;Dorset;Dorset;Dorset;4;Dorset;27;;;;;;;;x
PROV28;Somerset;Somerset;Somerset;4;Somerset;28;;;;;;;;x
PROV29;Devon;Devon;Devon;4;Devon;29;;;;;;;;x
PROV30;Worcester;Worcester;Worcester;4;Worcester;30;;;;;;;;x
PROV31;Cornwall;Cornouailles;Cornwall;4;Cornualles;31;;;;;;;;x
PROV32;Middlesex;Middlesex;Middlesex;4;Middlesex;32;;;;;;;;x
PROV33;Færeyar;Féroé;Færeyar;4;Færeyar;33;;;;;;;;x
PROV34;Shetland;Shetland;Shetland;4;Shetland;34;;;;;;;;x
PROV35;Innse Gall;Les Hébrides;Innse Gall;4;Innse Gall;35;;;;;;;;x
PROV36;Orkney;Orcades;Orkney;4;Orkney;36;;;;;;;;x
PROV37;Caithness;Caithness;Caithness;4;Caithness;37;;;;;;;;x
PROV38;Teviotdale;Teviotdale;Teviotdale;4;Teviotdale;38;;;;;;;;x
PROV39;Ross;Ross;Ross;4;Ross;39;;;;;;;;x
PROV40;Moray;Moray;Moray;4;Moray;40;;;;;;;;x
PROV41;Buchan;Buchan;Buchan;4;Buchan;41;;;;;;;;x
PROV42;Strathearn;Strathearn;Strathearn;4;Strathearn;42;;;;;;;;x
PROV43;Gowrie;Gowrie;Gowrie;4;Gowrie;43;;;;;;;;x
PROV44;Atholl;Atholl;Atholl;4;Atholl;44;;;;;;;;x
PROV45;Argyll;Argyll;Argyll;4;Argyll;45;;;;;;;;x
PROV46;Fife;Fife;Fife;4;Fife;46;;;;;;;;x
PROV47;Clydesdale;Clydesdale;Clydesdale;4;Clydesdale;47;;;;;;;;x
PROV48;Lothian;Lothian;Lothian;4;Lothian;48;;;;;;;;x
PROV49;Carrick;Carrick;Carrick;4;Carrick;49;;;;;;;;x
PROV50;Galloway;Galloway;Galloway;4;Galloway;50;;;;;;;;x
PROV51;Dunbar;Dunbar;Dunbar;4;Dunbar;51;;;;;;;;x
PROV52;Northumberland;Northumberland;Northumberland;4;Northumberland;52;;;;;;;;x
PROV53;Cumberland;Cumberland;Cumberland;4;Cumberland;53;;;;;;;;x
PROV54;Isle of Man;Île de Man;Isle of Man;4;Isla de Man;54;;;;;;;;x
PROV55;Westmorland;Westmorland;Westmorland;4;Westmorland;55;;;;;;;;x
PROV56;Durham;Durham;Durham;4;Durham;56;;;;;;;;x
PROV57;York;York;York;4;York;57;;;;;;;;x
PROV58;Lancaster;Lancaster;Lancaster;4;Lancaster;58;;;;;;;;x
PROV59;Chester;Chester;Chester;4;Chester;59;;;;;;;;x
PROV60;Perfeddwlad;Perfeddwlad;Perfeddwlad;4;Perfeddwlad;60;;;;;;;;x
