#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
FE_CONTENT;Content;Contenu;;;;;;;;;;;;
FE_REMOTE;Back;Retour;;;;;;;;;;;;
CHAR_RELATION;Relations;Relations;;;;;;;;;;;;
PETTY;Petty;Piètre;Kleinlich;;Mezquino;;;;;;;;;x
SPECIAL_EVENTOPTION_0;This option is available due to your high §YDiplomacy§! skill;Cette option est disponible en raison de votre §YDiplomatie§! élevée !;Diese Option ist aufgrund Eurer ausgezeichneten §YDiplomatiey§!-Fertigkeit verfügbar;;Esta opción está disponible debido a tu elevada habilidad en §YDiplomacy§!;;;;;;;;;x
SPECIAL_EVENTOPTION_1;This option is available due to your high §YMartial§! skill;Cette option est disponible en raison de votre aptitude §YMartiale§! élevée !;Diese Option ist aufgrund Eurer ausgezeichneten §YKriegerische§!-Fertigkeiten verfügbar;;Esta opción está disponible debido a tu elevada habilidad en §YMartial§!;;;;;;;;;x
SPECIAL_EVENTOPTION_2;This option is available due to your high §YStewardship§! skill;Cette option est disponible en raison de votre §YIntendance§! élevée !;Diese Option ist aufgrund Eurer ausgezeichneten §YFührungs§!-Fertigkeit verfügbar;;Esta opción está disponible debido a tu elevada habilidad en §YStewardship§!;;;;;;;;;x
SPECIAL_EVENTOPTION_3;This option is available due to your high §YIntrigue§! skill;Cette option est disponible en raison de votre §YIntrigue§! élevée !;Diese Option ist aufgrund Eurer ausgezeichneten §YIntrigen§!-Fertigkeit verfügbar;;Esta opción está disponible debido a tu elevada habilidad en §YIntrigue§!;;;;;;;;;x
SPECIAL_EVENTOPTION_4;This option is available due to your high §YLearning§! skill;Cette option est disponible en raison de votre §YConnaissance§! élevée !;Diese Option ist aufgrund Eurer ausgezeichneten §YWissens§!-Fertigkeit verfügbar;;Esta opción está disponible debido a tu elevada habilidad en §YLearning§!;;;;;;;;;x
SPECIAL_EVENTOPTION_TRAIT;This option is available because you have the §Y$TRAITNAME$§! trait;Cette option est disponible en raison de votre côté §Y$TRAITNAME$§! !;Diese Option ist aufgrund Eurer ausgezeichneten §Y$TRAITNAME$§!-Kenntnisse verfügbar;;Esta opción está disponible debido a que posees el rasgo de §Y$TRAITNAME$§!;;;;;;;;;x
THE;the;§Y§!;der;;el;;;;;;;;;x
CAP_THE;The;Le(la);Der;;;;;;;;;;;x
NATION_OVERVIEW_MENU;Realm;États;Reich;;Reino;;;;;;;;;x
DECLARE_WAR_INTERACTION_0;Breaking the Truce (ends on §Y$DATE$?) would cost you §R$PRESTIGE$? Prestige and lower all §Y[Recipient.Religion.GetGroupName]? rulers' opinion of you by §R$OPINION$?. You will be considered a '§YTruce Breaker?' (§R-5? Diplomacy for §Y5? years.);Briser la trève (celle-ci termine le §Y$DATE$§!) vous coûterait §R$PRESTIGE$§! Prestige et dimunuerait de §R$OPINION$§! l'opinion qu'a de vous tous les dirigeants §Y[Recipient.Religion.GetGroupName]§! . Vous serez considér?un '§YBriseur de Trèves§!' (§R-5§! Diplomatie pour §Y5§! ans.);"Ein Bruch des Waffenstillstands (der §Y$DATE$? endet) würde Euch §R$PRESTIGE$? Prestige kosten und die Meinung aller Herrscher vom §Y[Recipient.Religion.GetGroupName]?-Glauben von Euch um §R$OPINION$? verschlechtern. Ihr würdet außerdem als ""§YEidbrecher?"" angesehen werden (§R-5? Diplomatie für §Y5? Jahre)";;Romper la tregua (dura hasta §Y$DATE$?) te costar?§R$PRESTIGE$? prestigio y reducir?la opinión de todos los gobernantes §Y[Recipient.Religion.GetGroupName]? hacía ti. Además serás considerado un '§YViolador de Treguas? (§R-5? diplomacia durante §Y5? años.);;;;;;;;;x
IMPRISON_INTERACTION_1B;Using this option is viewed as tyrannical, and will lower the opinions of all characters in the Republic of you by §R$OPINION$?;Utiliser cette option est considéré comme étant tyrannique et diminuera de §R$OPINION$§! l'opinion des autres citoyens de la République;Dies wird als tyrannisch angesehen werden und die Meinung aller Personen in der Republik über Euch um §R$OPINION$?verschlechtern!;;Llevar a cabo esta acción ser?considerada tiránica, y reducir?la opinión sobre ti de todos los personajes en la República en §R$OPINION$?;;;;;;;;;x
