#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
norse;Norse;Norrois;nordisch;;Nórdico;;;;;;;;;x
#count_welsh;Earl;Earl;Graf;;Conde;;;;;;;;;x
#temple_barony_of_buddhist;Monastery of;Monastère de;Kloster von;;Monasterio de;;;;;;;;;x
#temple_barony_of_hindu;Temple of;Temple de;Tempel von;;Templo de;;;;;;;;;x
#temple_barony_of_jain;Monastery of;Monastère de;Kloster von;;Monasterio de;;;;;;;;;x
AUTOCEPHALOUS_PATRIARCHS;Autocephalous Patriarchs;Patriarches autocéphales;Autokephale Patriarche;;Patriarcas autocéfalos;;;;;;;;;x
AUTOCEPHALOUS_REL_HEAD_TITLE;Patriarch;Patriarche;Patriarch;;Patriarca;;;;;;;;;x
AUTOCEPHALY_IRO;§YAdditional Autocephalous Patriarchs§!;§YPatriarches autocéphales supplémentaires§!;§YZusätzliche autokephale Patriarche§!;;§YPatriacas autocéfalos adicionales§! ;;;;;;;;;x
baron;Baron;Baron;Baron;;Barón;;;;;;;;;x
baron_arabic;Wâli;Wâli;Wâli;;Valí;;;;;;;;;x
baron_deed;Crown of;Couronne de;Krone von;;Corona de;;;;;;;;;x
baron_dravidian_group;Damapati;Damapati;Damapati;;Damapati;;;;;;;;;x
baron_female;Baroness;Baronne;Baroness;;Baronesa;;;;;;;;;x
baron_female_arabic;Wâlia;Walia;Wâlia;;Valía;;;;;;;;;x
baron_female_dravidian_group;Damapatni;Damapatni;Damapatni;;Damapatní;;;;;;;;;x
baron_female_german;Baronness;Landgravine;Landgrafine;;;;;;;;;;;x
baron_female_indo_aryan_group;Damapatni;Damapatni;Damapatni;;Damapatní;;;;;;;;;x
baron_female_iranian;Wâlia;Walia;Wâlia;;Valía;;;;;;;;;x
baron_female_turkish;Timariota;Barones;Timarota;;Timariota;;;;;;;;;x
baron_foa;My Lord;Mon Seigneur;Mein Fürst;;Mi Señor;;;;;;;;;x
baron_foa_female;My Lady;Ma Dame;Meine Fürstin;;Mi Señora;;;;;;;;;x
baron_german;Baron;Landgrave;Landgraf;;;;;;;;;;;x
baron_indo_aryan_group;Damapati;Damapati;Damapati;;Damapati;;;;;;;;;x
baron_iranian;Argbadh;Argbadh;Argbadh;;Argbadh;;;;;;;;;x
baron_mongol;Taishi;Taishi;Taishi;;Taishi mongol;;;;;;;;;x
baron_norse;Þegn;Þegn;Þegn;;Þegn;;;;;;;;;x
baron_norse_pagan;Þegn;Þegn;Þegn;;Þegn;;;;;;;;;x
baron_norse_pagan_reformed;Þegn;Þegn;Þegn;;Þegn;;;;;;;;;x
baron_pagan_group;Hetman;Hetman;Hetman;;Hetman;;;;;;;;;x
baron_turkish;Timariot;Timariote;Timariot;;Timariots;;;;;;;;;x
baron_west_african;Wâli;Wali;Wâli;;Valí;;;;;;;;;x
baronies;Baronies;Baronnies;Baronien;;Baronías;;;;;;;;;x
barony;Barony;Baronnie;Baronie;;Baronía;;;;;;;;;x
barony_arabic;Wilayah;Wilaya;Wilayah;;Vilayato;;;;;;;;;x
barony_dravidian_group;Dama;Dama;Dama;;Dama;;;;;;;;;x
barony_indo_aryan_group;Dama;Dama;Dama;;Dama;;;;;;;;;x
barony_iranian;Arg;Arg;Arg;;Arg;;;;;;;;;x
barony_mongol;Taishi;Taïshi;Taishi;;Taishi;;;;;;;;;x
barony_of;Barony of;Baronnie de;Baronie von;;Baronía de;;;;;;;;;x
barony_of_dravidian_group;Dama of;Dama de;Dama von;;Dama de;;;;;;;;;x
barony_of_german;Baronny;Landgraviat de;;;;;;;;;;;;x
barony_of_indo_aryan_group;Dama of;Dama de;Dama von;;Dama de;;;;;;;;;x
