#CODE;ENGLISH;FRENCH;;;;;;;;;;;;x
title_food_taster;Food Taster;Goûteur de nourriture;;;;;;;;;;;;x
title_food_taster_desc;Food tasters have the dubious pleasure of trying all dishes before their master has a bite...;Le goûteur jouit du plaisir aléatoire de tester tous les plats avant que ceux-ci ne soient servis à son maître…;;;;;;;;;;;;x
title_court_musician;Court Musician;Musicien;;;;;;;;;;;;x
title_chief_architect;Chief Architect;Architecte en chef;;;;;;;;;;;;x
title_chief_architect_desc;The Chief Architect is responsible for designing and overseeing the construction of palaces, mosques and grand monuments.;L'architecte en chef est chargé de la création et de la surveillance de la construction des palais, mosquées et autres grands monuments.;;;;;;;;;;;;x
title_chief_qadi_desc;The Chief Qadi is the supreme judge and authority of the Law (Sharia) in the realm. The most prestigious of all Muslim honorary titles, it is only open to characters with a proper religious education.;Le cadi est le juge suprême et fait figure de représentant de la loi (charia) au sein du royaume. Plus prestigieux des titres honorifiques musulmans, cette fonction n'est accessible qu'aux personnes bénéficiant d'une éducation religieuse bien spécifique.;;;;;;;;;;;;x
job_spiritual_shiite;Court Mullah;Mollah;;;;;;;;;;;;x
job_chancellor_iranian;Grand Vizier;Pervane;;;;;;;;;;;;x
PROV917;Araouane;Arouane;;;;;;;;;;;;x
e_persia_adj;Persian;perse;;;;;;;;;;;;x
k_perm_adj;Permian;permien(ne);;;;;;;;;;;;x
e_spain_adj;Hispanian;hispagnol(e);;;;;;;;;;;;x
west_african;West African;ouest africain;;;;;;;;;;;;x
k_byzantium_adj;Greek;grec(que);;;;;;;;;;;;x
k_anatolia_adj;Anatolian;anatolien(ne);;;;;;;;;;;;x
e_russia;Russia;Russe;;;;;;;;;;;;x
e_france;Francia;Francie;;;;;;;;;;;;x
e_france_adj;French;franque;;;;;;;;;;;;x
county;County;Comtales;;;;;;;;;;;;x
city_empire;Principality;Fédération;;;;;;;;;;;;x
city_kingdom;Most Serene Republic;Sérénissime République de;;;;;;;;;;;;x
temple_duchy_christian;Prince-Archbishopric;Prince-évêque;;;;;;;;;;;;x
temple_county_christian;Prince-Bishopric;Principauté épiscopale;;;;;;;;;;;;x
temple_barony_muslim;Mosque;Cheikat;;;;;;;;;;;;x
count_arabic_female;Shaykhah;Cheykha;;;;;;;;;;;;x
county_mongol;Chiefdom;Territoire;;;;;;;;;;;;x
duchy_mongol;High Chiefdom;Haut territoire;;;;;;;;;;;;x
d_susa_adj;Susan;suse;;;;;;;;;;;;x
c_aprutium_adj;Aprutian;des Abruzzes;;;;;;;;;;;;x
CB_NAME_COUNTY_CONQUEST;Conquest of [Title.GetBaseName];Conquête du titre de [Title.GetBaseName];;;;;;;;;;;;x
WAR_NAME_COUNTY_CONQUEST;$ORDER$$FIRST_ADJ$ Conquest of $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Conquête de $OTHER_TITLE$;;;;;;;;;;;;x
c_tadmor_adj;Al-Sukhnahn;d'Al-Sukhnah;;;;;;;;;;;;x
c_syria_adj;Bostrian;de Bosra;;;;;;;;;;;;x
c_mesopotamia_adj;Khliatian;de Khliat;;;;;;;;;;;;x
c_euphrates_adj;Samarrian;de Samarra;;;;;;;;;;;;x
c_aukshayts_adj;Vilnian;de Vilnius;;;;;;;;;;;;x
c_sudovia_adj;Trakian;de Trakai;;;;;;;;;;;;x
c_jacwiez_adj;Grodnian;de Grodno;;;;;;;;;;;;x
c_byzantion_adj;Constantinopian;de Constantinople;;;;;;;;;;;;x
d_hashshashin;Fedayeen;L'assassin;;;;;;;;;;;;x
GRANDHEADMASTER;Grand Headmaster;Grand maître;;;;;;;;;;;;x
CHURCH_NAME;The $RELIGION$ Faith;La foi $RELIGION$;;;;;;;;;;;;x
SPECIAL_EVENTOPTION_0;This option is available due to your high §YDiplomacy§! skill;Cette option est disponible en raison de votre §YDiplomatie§! élevée !;;;;;;;;;;;;x
SPECIAL_EVENTOPTION_1;This option is available due to your high §YMartial§! skill;Cette option est disponible en raison de votre aptitude §YMartiale§! élevée !;;;;;;;;;;;;x
SPECIAL_EVENTOPTION_2;This option is available due to your high §YStewardship§! skill;Cette option est disponible en raison de votre §YIntendance§! élevée !;;;;;;;;;;;;x
SPECIAL_EVENTOPTION_3;This option is available due to your high §YIntrigue§! skill;Cette option est disponible en raison de votre §YIntrigue§! élevée !;;;;;;;;;;;;x
SPECIAL_EVENTOPTION_4;This option is available due to your high §YLearning§! skill;Cette option est disponible en raison de votre §YConnaissance§! élevée !;;;;;;;;;;;;x
SPECIAL_EVENTOPTION_TRAIT;This option is available because you have the §Y$TRAITNAME$§! trait;Cette option est disponible en raison de votre côté §Y$TRAITNAME$§! !;;;;;;;;;;;;x
